author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/301985781/,Новосибирск,sale,flat,9,17,3,112.68,-1,0,12000000,Дзержинский, Фрунзе,232,Березовая Роща,
ПОЛЯКОВ,developer,https://novosibirsk.cian.ru/sale/flat/300268170/,Новосибирск,sale,flat,8,18,4,68.74,-1,0,8300000,Калининский,Северный мкр,,Заельцовская,Миниполис Фора на Фадеева ЖК
Strizhi trade-in,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/298448694/,Новосибирск,sale,flat,5,17,1,38.8,-1,0,6600000,Заельцовский, Аэропорт,49,Заельцовская,
Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/302018283/,Новосибирск,sale,flat,1,5,2,42.7,-1,0,3450000,Советский,Варшавская ,10,Студенческая,
ПОЛЯКОВ,developer,https://novosibirsk.cian.ru/sale/flat/300268259/,Новосибирск,sale,flat,15,18,2,53.14,-1,0,6950000,Калининский,Северный мкр,,Заельцовская,Миниполис Фора на Фадеева ЖК
Strizhi trade-in,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/298586077/,Новосибирск,sale,flat,4,17,1,39.8,-1,0,6600000,Заельцовский, Аэропорт,49,Заельцовская,
Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/304309228/,Новосибирск,sale,flat,7,17,2,57.8,-1,0,8600000,Дзержинский, Адриена Лежена,9/1,Золотая Нива,
Сибмонтажспецстрой,developer,https://novosibirsk.cian.ru/sale/flat/302396185/,Новосибирск,sale,flat,15,23,2,47.6,-1,0,7806400,Калининский,,,Маршала Покрышкина,Калининский квартал ЖК
Концерн Сибирь,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/303255761/,Новосибирск,sale,flat,14,17,2,57.0,-1,0,6300000,Кировский, Петухова,с1,Площадь Маркса,Основа
Новактив,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/292373519/,Новосибирск,sale,flat,3,5,2,47.0,-1,0,5300000,Калининский,Народная ,44,Березовая Роща,
